date,alerts,frauds,detected_frauds,policy
2020-01-29,5,3,3,Probability Top-5
2020-01-30,5,17,5,Probability Top-5
2020-01-31,5,15,5,Probability Top-5
2020-02-01,5,21,5,Probability Top-5
2020-02-02,5,22,5,Probability Top-5
2020-02-03,5,18,5,Probability Top-5
2020-02-04,5,6,5,Probability Top-5
2020-02-05,5,0,0,Probability Top-5
2020-02-06,5,0,0,Probability Top-5
2020-02-07,5,11,5,Probability Top-5
2020-02-08,5,14,5,Probability Top-5
2020-02-09,5,13,5,Probability Top-5
2020-02-10,5,8,5,Probability Top-5
2020-02-11,5,9,5,Probability Top-5
2020-02-12,5,5,5,Probability Top-5
2020-02-13,5,4,4,Probability Top-5
2020-02-14,5,13,5,Probability Top-5
2020-02-15,5,18,5,Probability Top-5
2020-02-16,5,10,5,Probability Top-5
2020-02-17,5,6,4,Probability Top-5
2020-02-18,5,3,3,Probability Top-5
2020-02-19,5,10,5,Probability Top-5
2020-02-20,5,25,5,Probability Top-5
2020-02-21,5,28,5,Probability Top-5
2020-02-22,5,17,5,Probability Top-5
2020-02-23,5,13,5,Probability Top-5
2020-02-24,5,6,4,Probability Top-5
2020-02-25,5,7,5,Probability Top-5
2020-02-26,5,1,1,Probability Top-5
2020-02-27,5,26,5,Probability Top-5
2020-02-28,5,22,5,Probability Top-5
2020-03-01,5,19,5,Probability Top-5
2020-03-02,5,27,5,Probability Top-5
2020-03-03,5,9,3,Probability Top-5
2020-03-04,5,6,5,Probability Top-5
2020-03-05,5,8,4,Probability Top-5
2020-03-06,5,0,0,Probability Top-5
2020-03-07,5,7,4,Probability Top-5
2020-03-08,5,15,5,Probability Top-5
2020-03-09,5,7,5,Probability Top-5
2020-03-10,5,18,5,Probability Top-5
2020-03-11,5,22,5,Probability Top-5
2020-03-12,5,31,5,Probability Top-5
2020-03-13,5,13,5,Probability Top-5
2020-03-14,5,8,5,Probability Top-5
2020-03-15,5,18,5,Probability Top-5
2020-03-16,5,19,5,Probability Top-5
2020-03-17,5,32,5,Probability Top-5
2020-03-18,5,14,5,Probability Top-5
2020-03-19,5,37,5,Probability Top-5
2020-03-20,5,41,5,Probability Top-5
2020-03-21,5,15,5,Probability Top-5
2020-03-22,5,5,5,Probability Top-5
2020-03-23,5,6,5,Probability Top-5
2020-03-24,5,11,5,Probability Top-5
2020-03-25,5,3,3,Probability Top-5
2020-03-26,5,0,0,Probability Top-5
2020-03-27,5,0,0,Probability Top-5
2020-03-28,5,5,5,Probability Top-5
2020-03-29,5,11,5,Probability Top-5
2020-03-30,5,4,4,Probability Top-5
2020-03-31,5,33,5,Probability Top-5
2020-04-01,5,12,5,Probability Top-5
2020-04-02,5,10,5,Probability Top-5
2020-04-03,5,6,5,Probability Top-5
2020-01-29,5,3,3,Benefit Top-5
2020-01-30,5,17,5,Benefit Top-5
2020-01-31,5,15,5,Benefit Top-5
2020-02-01,5,21,5,Benefit Top-5
2020-02-02,5,22,4,Benefit Top-5
2020-02-03,5,18,5,Benefit Top-5
2020-02-04,5,6,4,Benefit Top-5
2020-02-05,2,0,0,Benefit Top-5
2020-02-06,5,0,0,Benefit Top-5
2020-02-07,5,11,5,Benefit Top-5
2020-02-08,5,14,5,Benefit Top-5
2020-02-09,5,13,5,Benefit Top-5
2020-02-10,5,8,5,Benefit Top-5
2020-02-11,5,9,5,Benefit Top-5
2020-02-12,5,5,5,Benefit Top-5
2020-02-13,5,4,4,Benefit Top-5
2020-02-14,5,13,5,Benefit Top-5
2020-02-15,5,18,5,Benefit Top-5
2020-02-16,5,10,5,Benefit Top-5
2020-02-17,5,6,4,Benefit Top-5
2020-02-18,5,3,3,Benefit Top-5
2020-02-19,5,10,5,Benefit Top-5
