method,bin_number,count,mean_probability,observed_fraud_rate,absolute_gap
Raw,1,12813,9.452911375615446e-07,0.0,9.452911375615446e-07
Raw,2,12813,2.0428079876324215e-06,0.0,2.0428079876324215e-06
Raw,3,12813,3.404075894156238e-06,0.0,3.404075894156238e-06
Raw,4,12812,5.24797034411331e-06,0.0,5.24797034411331e-06
Raw,5,12813,7.90069975289669e-06,0.0,7.90069975289669e-06
Raw,6,12813,1.193923258291303e-05,0.0,1.193923258291303e-05
Raw,7,12812,1.876640670086471e-05,0.0,1.876640670086471e-05
Raw,8,12813,3.2821934271801886e-05,0.0,3.2821934271801886e-05
Raw,9,12813,7.530349317715964e-05,0.00023413720440177945,0.00015883371122461982
Raw,10,12813,0.05107801873544821,0.06555841723249825,0.014480398497050039
Platt,1,12813,3.757182225524032e-06,0.0,3.757182225524032e-06
Platt,2,12813,8.13745019082784e-06,0.0,8.13745019082784e-06
Platt,3,12813,1.358117857401839e-05,0.0,1.358117857401839e-05
Platt,4,12812,2.096550055903476e-05,0.0,2.096550055903476e-05
Platt,5,12813,3.1602777597612704e-05,0.0,3.1602777597612704e-05
Platt,6,12813,4.7817381532259385e-05,0.0,4.7817381532259385e-05
Platt,7,12812,7.526480134257157e-05,0.0,7.526480134257157e-05
Platt,8,12813,0.000131860607060654,0.0,0.000131860607060654
Platt,9,12813,0.00030328819217067914,0.00023413720440177945,6.915098776889969e-05
Platt,10,12813,0.06135414034304889,0.06555841723249825,0.004204276889449361
Isotonic,1,116558,5.431266263939208e-06,4.28970984402615e-05,3.746583217632229e-05
Isotonic,2,11570,0.06848993868392406,0.07242869490060501,0.0039387562166809525
