category,transactions,frauds,total_amount,fraud_amount,fraud_rate
shopping_net,97543,1713,8625149.68,1711723.71,0.017561485703740914
misc_net,63287,915,5117709.26,729266.76,0.014457945549638947
grocery_pos,123638,1743,14460822.38,543797.9,0.014097607531665023
shopping_pos,116672,843,9307993.61,739245.09,0.007225383982446517
gas_transport,131659,618,8351732.29,7594.11,0.004693944204346076
misc_pos,79655,250,5009582.5,54571.020000000004,0.003138534931893792
grocery_net,45452,134,2439412.68,1629.82,0.0029481650972454456
travel,40507,116,4516721.68,1051.49,0.0028637025699261858
entertainment,94014,233,6036678.56,117323.79,0.0024783542876592847
personal_care,90758,220,4353450.53,5757.52,0.002424028735758831
kids_pets,113035,239,6503680.16,4331.08,0.0021143893484319018
food_dining,91461,151,4672459.44,18131.62,0.0016509769191239982
home,123115,198,7173928.11,50971.66,0.0016082524468992406
health_fitness,85879,133,4653108.02,2693.04,0.0015486905995645036
