month,transactions,frauds,total_amount,fraud_amount,fraud_rate
2019-01,52525,506,3759750.03,261780.38,0.009633507853403141
2019-02,49866,517,3604662.23,274051.08,0.010367785665583764
2019-03,70939,494,5027886.4,237637.59,0.006963729401316624
2019-04,68078,376,4761504.58,202067.29,0.005523076471106672
2019-05,72532,408,5060903.32,210549.11,0.0056251034026360775
2019-06,86064,354,6036397.42,178204.6,0.004113218070273285
2019-07,86596,331,6044026.74,188701.59,0.0038223474525382233
2019-08,87359,382,6047288.65,203951.13,0.0043727606772055545
2019-09,70652,418,4949834.42,217675.37,0.005916322255562476
2019-10,68758,454,4851267.37,257739.72,0.0066028680299019754
2019-11,70421,388,4923252.59,200307.47,0.005509720111898439
2019-12,141060,592,9918179.18,335157.54,0.0041967956897774
2020-01,52202,343,3663064.49,182595.36,0.006570629477797785
2020-02,47791,336,3369944.05,183950.11,0.007030612458412672
2020-03,72850,444,5162116.08,234090.1,0.006094715168153741
2020-04,66892,302,4691329.78,152173.98,0.004514740178197692
2020-05,74343,527,5244036.82,287226.38,0.007088764241421519
2020-06,57747,334,4106984.75,180229.81,0.005783850243302683
