feature,feature_group
amt,current
city_pop,current
age,current
distance_home_to_merchant_km,current
hour,current
day_of_week,current
is_weekend,current
hour_sin,current
hour_cos,current
dow_sin,current
dow_cos,current
category,current
merchant_clean,current
state,current
job,current
card_tx_count_before,past_only
card_has_history,past_only
card_time_since_prev_hours,past_only
card_amt_mean_before,past_only
card_amt_std_before,past_only
card_amt_ratio_to_mean,past_only
card_amt_zscore_before,past_only
card_merchant_pair_count_before,past_only
card_new_merchant,past_only
card_distinct_merchants_before,past_only
card_category_pair_count_before,past_only
card_new_category,past_only
card_distinct_categories_before,past_only
merchant_tx_count_before,past_only
merchant_amt_mean_before,past_only
